S. No.,source,startupName,website,foundedDate,description,ICB_industry,ICB_sector,startupClassification,startupClassification2,businessModel,keyword1,keyword2,keyword3,city,state,startupStatus,groupClassification1,groupClassification2,groupClassification3,Group Classification 4,Stage at the time of incubation,"Total investment by founders (Rupees, Lakhs)",Number of Founders,founder1Name,founder2Name,founder3Name,incubator,incubatorDate,Start-up stage,incubatorResult,accelerator,accleratorDate,Start-up stage,accelaratorResult,round1Date,round1InvestorCount,round1LeadInvestorType,round1InvestmentAmount,round1Valuation,Round1 Employees (Number),"Round1 Revenues (Rupees, Lakhs)",round2Date,round2InvestorCount,round2LeadInvestorType,round2InvestmentAmount,round2Valuation,Round2 Shareholding,Round2 Employees (Number),"Round2 Revenues (Rupees, Lakhs)",round3Date,round3InvestorCount,round3LeadInvestorType,round3InvestmentAmount,round3Valuation,Round3 Shareholding,Round3 Employees (Number),"Round3 Revenues (Rupees, Lakhs)",Round4 date,Round4 Total investors,Round4 Lead Investor type,Round4 Investment amount (Rupees Crores),Round4 Valuation (Rupees Crores),Round4 Shareholding,Round4 Employees (Number),"Round4 Revenues (Rupees, Lakhs)"
558,VI,SPEC,,,"SPEC Invent Electronics is a Bangalore based hardware start up, working on revolutionizing the power transmission and consumption methodology.",Consumer_goods,personal and household goods,Consumer Products and Services,,B2C,Electronic goods,,,Bengaluru,,,Consumer Electronics,,,,,,,,,,IIM-B NSRCEL,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,VI,Spectrum Renewable Energy,http://www.srel.in/,,"Spectrum Renewable Energy develops biogas projects in rural markets that capture renewable energy from organic waste products like Sugarcane Waste, Sugar Beet, Corn Cob and Municipal Waste Management.",Technology,Technology Hardware & Equipment,Clean Technology,,B2C,Renewable Energy,,,Hyderabad,,,Biomass and Bio fuels,,,,,,,,,,AIP - ICRISAT,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,VI,Sponsifyme,https://www.sponsifyme.com/,,"Based in Gurgaon, it is a real-time geolocation-based marketing platform for offline businesses.",Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Marketing Solutions,,,Gurgaon,,,Buisness and Management consultancy,,,,,,,,,,Pitney Bowes,08/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,VI,Spot Healthcare,https://www.spotsense.in/,,Spot Healthcare Solutions is developing non-invasive diagnostic solution to detect neonatal sepsis.,Healthcare,Healthcare,Health-Tech,,B2C,Medical Diagnosis using Machine Learning,,,Bengaluru,,,Diagnostics,,,,,,,,,,Villgro,02/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,VI,Spoyl,https://www.spoyl.in/,,"Co Name = SPOYL TECH SOLUTIONS PVT LTD, is a marketplace for buying and selling new and gently used clothes",Consumer_goods,personal and household goods,Internet marketplace and eCommerce,,B2C,Buy and sell of clothes,,,Hyderabad,,,Buy and Sale goods and products,,,,,,,,,,"500 Startups, Others",12/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,VI,Squadrun,https://squadrun.co,,,Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,INDUSTRIAL CONSULTANCY,,,Delhi,,,Buisness and Management consultancy,,,,,,,,,,Zone Startups India,06/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,VI,Srashta Automation Labs,,,Srashta Automation labs have highly qualified Techno Entrepreneur from diversified backgrounds.,Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Industrial Automation,,,Kanpur,,,Industrial Automation,,,,,,,,,,IIT-KANPUR  SIIC,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,VI,Srishti Research Labs,,,Banana Silk Yarn Separator,Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Industrial Automation,,,Erode,,,Agriculture Autoomation and Support,,,,,,,,,,KEC - TBI,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,VI,StalkBuyLove,http://www.stalkbuylove.com/,,StalkBuyLove is an online fast fashion site selling women's clothing and accessories. Once the customer orders a product the compnay manufactures and delivers them.,Consumer_goods,personal and household goods,Internet marketplace and eCommerce,,B2C,Clothing and accessories,,,Delhi,,,Fashion,,,,,,,,,,500 Startups,03/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,VI,Stayglad,http://stayglad.com/,,"Stayglad, a mobile marketplace for beauty services, has raised angel funding from a group of investors including Sahil Barua, cofounder of Delhivery, Tracxnlabs and a few others. The platform helps customers to get beauty services at their homes by trained and certified professionals using standardized procedures.   In November 2015 StayGlad had raised $1.5 million in its first institutional round of funding from Bessemer Venture Partners and Anil Chopra, ex-CEO of Lakme.",Consumer_services,Retail,Consumer Products and Services,,B2C,Beauty Services,,,Bengaluru,,,Personal Products,,,,,,,,,,Tracxn Labs,07/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,VI,Storewalk,http://storewalk.in/,,"Storewalk aims to make offline shopping a delightful and refined experience for its users, by finding apparel, accessories, and other collectibles they would otherwise struggle to find in city markets on foot.",Consumer_goods,personal and household goods,Internet marketplace and eCommerce,,B2C,Clothing and accessories,,,Bengaluru,,,Fashion,,,,,,,,,,Axilor Ventures,10/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,VI,StoryXpress,https://storyxpress.co,,A cloud-based video creation tool that makes it easier for businesses to create video content.,Technology,Software & Computer Services,Software and Internet Services,,B2B,Video content Software ,,,Gurgaon,,,Software services for consumers,,,,,,,,,,Target Accelerator,10/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,VI,StratDecider Analytics,http://stratdecider.com/,,"Studying the previous trends and present position of the market, StratDecider Analytics helps its clients in framing strategies in order to take on their competitors. The research methodology combines primary interviews with industry specialists and secondary data lying in social media, review sites, ecommerce websites and the huge web space.",Technology,Software & Computer Services,Software and Internet Services,,B2B,Data Analytics,,,Gujarat,,,Big Data Analytics and Machine learning,,,,,,,,,,Amrita - TBI,04/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,VI,StressMobile,http://stressmobile.com/,,StressMobile is a tool that extricates myriad signals from voice and it uses the same for measurement of stress and other conditions. Co Name = 3GS Wellness Pvt. Ltd,Healthcare,Healthcare,Health-Tech,,B2C,Medical Diagnosis using Machine Learning,,,Chennai,,,Healthcare Analytics and Software,,,,,,,,,,VIT - TBI,05/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,VI,Study Marvel,http://studymarvel.com/,,"Edtech startup accelerator, EDUGILD has announced its third batch which will mentor 3 startups from India and 3 from the US as part of its third batch. Startups for the third batch were selected from more than 300 applications. In the third batch, there is one company each from Bengaluru, Mumbai, and Delhi, New York, Boston, and San Francisco. The selected startups are Skillzot, Skillsoniq, Yoscholar, ChangeMyPath, Kids Triangle and Study Marvel.",Technology,Software & Computer Services,Edu-Tech,,B2C,AR Study,,,Delhi,,,Peer teaching and teaching innovations,,,,,,,,,,Edugild,03/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,VI,Super,http://app.super.jobs/,,Mobile App for Job listings.,Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Job Portal,,,Singapore,,,Business Training & Employment Agencies,,,,,,,,,,Google Launchpad,01/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,VI,Super-Wave Technology,http://www.super-wave.in,,"Super-Wave Technology is engaged in research in the area of shockwaves and its applications in various fields including include Needleless drug delivery system, Shock wave assisted bamboo treatment plant, Reddy tube driven table-top hypersonic shock tunnel and Artificial insemination gun for animals and has several patents to its credit.",Healthcare,Healthcare,Health-Tech,,B2C,Medical Diagnosis using Machine Learning,,,Bengaluru,,,Pharmaceuticals and drug development and manufacturing,,,,,,,,,,IISc-SID,10/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,VI,Superfan.ai,,,"An AI-based, chatbot-enabled, ecommerce platform that allows users to create their own bots and increase one-on-one engagement with their respective audiences.",Technology,Software & Computer Services,Software and Internet Services,,B2B,AI bot Developer platform,,,Mumbai,,,Communication services,,,,,,,,,,Thinqbate,10/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,VI,SuperWise,http://superwise.site,,Superwise offers a real-time implementable site management solution for construction contractors.,Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Construction Consultancy,,,Mumbai,,,Engineering Consultancy,,,,,,,,,,Amplifi,10/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,VI,Supply Chain Exchange,,,Target is a web-based interface which allows transporters to dispose their services and the shippers to procure them in real time. It interlinks the freight requirements of the shippers with the service offerings of the transporters in the industry to optimize and fast track the operations of both the parties.,Consumer_services,Retail,Hyperlocal and Logistics,,B2C,Logistics firm,,,Udaipur,,,Delivery services and logistics,,,,,,,,,,VentureNursery,03/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,VI,Supr Daily,http://www.suprdaily.com,,"Mumbai-based Supr Daily, which delivers daily consumable goods such as milk, bread and eggs to users, has raised USD 120,000 from Y Combinator. With this, Supr Daily joins other Indian startups that have booked themselves a spot in Y Combinator's programme. These include ClearTax, RazorPay , Justride and Innov8.",Consumer_goods,personal and household goods,Hyperlocal and Logistics,,B2C,Groceries,,,,,,Online Grocery,,,,,,,,,,Y Combinator,03/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,VI,Surukam,,,"Surukam provides AI solutions (NLP and machine learning) to manage drafting, redlining as well as post-contract management of contracts.",Technology,Software & Computer Services,Software and Internet Services,,B2B,AI bot Developer platform,,,Bengaluru,,,Communication services,,,,,,,,,,Microsoft Accelerator,09/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,VI,Surya Power Magic,http://www.suryapowermagic.com/,,"In March 2014, Infuse Ventures and I3N invested $0.5 million in the company",Technology,Technology Hardware & Equipment,Clean Technology,,B2B,Solar Energy,,,Coimbatore,,,Solar energy,,,,,,,,,,PSG - STEP,03/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,VI,SustainEarth,http://sustain-earth.com/,,"“Sustain-Earth.com” is about to seek and to assist implementing appropriate approaches, on individual, group and collective levels, for meeting challenges in different moments, stages and contexts of our lives.",Technology,Technology Hardware & Equipment,Clean Technology,,B2B,Alternative Energy Supplier,,,Chennai,,,Alternate energy sources,,,,,,,,,,Villgro,11/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,VI,Svadhin,,,Svadhin helps the elderly make key changes to their physical environment.,Consumer_goods,personal and household goods,Consumer Products and Services,,B2C,Home Automation and Solutions,,,Bengaluru,,,Furnishings & Home Construction,,,,,,,,,,NUMA Accelerator,05/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,VI,Swadha Energies,http://www.swadhaenergies.com,,"Swadha Energies has designed and developed mechanical systems and electronics that help cut electricity consumption in the AC systems, using advanced power electronics integrated with the building management system.",Consumer_goods,personal and household goods,Consumer Products and Services,,B2C,Consumer Electronics Efficient,,,Chennai,,,Consumer Electronics,,,,,,,,,,IIT-M,12/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,VI,Swarnverse Bigdata Solution,http://www.swarmverse.com,,Swarmverse currently operates an Online Marketplace for Retailer Services aggregation like Layaway Schemes and Savings Schemes. Our core area of focus is recurring payments via online and mobile channels for such schemes.,Financials,Financial services,Fin-Tech and Payments,,B2C,Payment methods,,,Bengaluru,,,Payments and Wallet,,,,,,,,,,GINSERV,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,VI,Swasti Agro,http://swastiagro.com/,,"Amrita University’s Technology Business Incubator (TBI) has committed $350,000 in seed funding for five start-ups. Swasti Agro & Bioproducts develops preventive vaccines for plants to save them from various diseases, thus enabling farmers to avoid crop loss.",Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Agricultural plants vaccination,,,Pune,,,Agriculture Autoomation and Support,,,,,,,,,,Amrita - TBI,02/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,VI,SWEEP Enviro,http://www.sweepenviro.com/,,"SweepEnviro is an environment solution organisation to serve public and private organizations on a wide range of strategic and site specific environmental and sustainability issues. SweepEnviro specializes in providing strategic advice to clients in energy, air, water and waste management sectors.",Technology,Technology Hardware & Equipment,Clean Technology,,B2B,Air water and Wind,,,Mumbai,,,Renewable energy,,,,,,,,,,IIT-Bombay SINE,11/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,VI,SwitchOn-onergy,http://switchon.org.in,,SwitchON-ONergy is a hybrid social enterprise start-up creating an ecosystem for the uptake of complete energy solutions to rural India.,Technology,Technology Hardware & Equipment,Clean Technology,,B2B,Alternative Energy Supplier,,, Kolkata,,,Alternate energy sources,,,,,,,,,,IIM-C,09/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,VI,Symbio Greentech,,,"SYMBIO GREENTECH Pvt. Ltd. is an Environment Biotechnology company committed to provide innovative sustainable technologies for Environment Protection & Restoration, Urban Renewal, Rural development and Climate Change Mitigation & Adaptation.",Technology,Technology Hardware & Equipment,Clean Technology,,B2B,Alternative Energy Supplier,,,Kolkata,,,Pollution monitoring,,,,,,,,,,Ekta Technology Incubation Centre,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,VI,Symetric Systems,http://www.symetricsystems.com,,"SyMetric Systems is the brainchild of a group of highly-skilled professionals with in-depth exposure to the IT Software and Clinical Research Industries. , we are engaged in building comprehensive, seamless and world class integrated software solutions for the Clinical Research Industry",Healthcare,Healthcare,Health-Tech,,B2C,Software based development of Health,,,Bengaluru,,,Healthcare Analytics and Software,,,,,,,,,,GINSERV,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,VI,SysCloudSoft,https://www.syscloudsoft.com,,"The new batch of startups selected for the Microsoft Accelerator programme are mainly in the areas of artificial intelligence and the internet of things, targeting verticals, including banking finance and financial services, logistics, healthcare, pharma and energy .Seven of the startups, including healthcare startup SigTuple and packaging artwork management software provider Karomi are among series-stage mature businesses, currently at an average annual revenue rate (ARR) of $1.5 million, and average funding of $3.2 million. The other startups in the batch include: AceBot, Active.Ai, FirstHive, Heckyl Technologies, Lavelle Networks, LetsTransport, QuestionPro, SysCloud, Tricog, vPhrase, Wittyparrot and Zenatix.",Technology,Software & Computer Services,Software and Internet Services,,B2B,Cloud computing,,,Chennai,,,Cloud Infrastructure,,,,,,,,,,Microsoft Accelerator,03/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,VI,Tagalys,http://www.teritree.com/,,Tagalys is a solution that provides intelligent heuristic search.,Technology,Software & Computer Services,Software and Internet Services,,B2B,Saas,,,Bengaluru,,,SaaS,,,,,,,,,,Pitney Bowes,08/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,VI,TakeZero,http://takezero.in/,,A marketplace which connects creative and performing artists like models and actors with talent agencies.,Technology,Software & Computer Services,Social Platforms,,B2B,Artist and performers connect,,,Noida,,,Connect to Professionals,,,,,,,,,,TLabs,03/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,VI,Taleho,https://www.taleho.com,,"A social networking-based real estate company where it claims to offer authentic information about properties, places, and people.",Industrials,Industrial goods and services,Real estate,,B2B2C,Real Estate Information,,,Mumbai,,,"Buy , Rent and Sell Property",,,,,,,,,,Thinqbate,10/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,VI,TalkMore,http://talkmoreapp.com/,,"TalkMore is a mobile app that analyzes all calls, messages and data usage on the phone to recommend the cheapest mobile plans.",Technology,Software & Computer Services,Software and Internet Services,,B2B,Mobile Software,,,Mumbai,,,Internet and software development,,,,,,,,,,GSF Accelerator,04/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,VI,Tallenge,http://www.tallenge.com/,,An online talent platform where participants from around the world compete for audience votes.,Technology,Software & Computer Services,Social Platforms,,B2B,Connect participants and audience,,,Bengaluru,,,Connect People for Social Activities,,,,,,,,,,Microsoft Accelerator,07/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,VI,TapOn Technologies,http://tapontech.com/,,"TapOn Technologies develops custom Mobile Apps for events where event users can network, sponsors can promote their brand and for organizers to connect with event members.",Consumer_services,Retail,Consumer Products and Services,,B2C,Event Management,,,Bengaluru,,,Event Management,,,,,,,,,,IIM-B NSRCEL,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,VI,TargetingMantra,http://www.targetingmantra.com/,,"Target offers a SaaS based personalization and analytics solutions for various online businesses across e-commerce, news portals, job portals and others.",Technology,Software & Computer Services,Software and Internet Services,,B2B,Saas,,,Gurgaon,,,SaaS,,,,,,,,,,500 Startups,04/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,VI,Tarnea,http://www.tarnea.com/,,"Tarneas B2B platform SmartMile, connects retailers with their entire supply chain of distributors and manufacturers in real-time. It provides real-time visibility to all the constituents of the supply chain.",Technology,Software & Computer Services,Social Platforms,,B2B,Connect Retailers,,,Bengaluru,,,Connect to Professionals,,,,,,,,,,Microsoft Ventures,03/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,VI,TeachingLabs,,,"Teaching Labs is a community portal for Educators helping them collaborate globally. Platform helps teachers and educators share content, learnings and experiences with each other.",Technology,Software & Computer Services,Edu-Tech,,B2C,Connect Teachers and Students,,,Delhi,,,Social platforms for Educational sector,,,,,,,,,,TurningIdeas Ventures,03/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,VI,Tech Tailor,http://www.tech-tailor.com/,,,Consumer_services,Retail,Consumer Products and Services,,B2C,Online Tailoring Services,,,Bengaluru,,,Servicing,,,,,,,,,,IIM-B NSRCEL,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,VI,TechnoCratz,http://www.technocratzindia.com,,"TechnoCratz is a leading name in the field of healthcare and business solutions, and conceptual product development. The primary objective of the company is to cater to the ever increasing demand of medical imaging in patient care.",Healthcare,Healthcare,Health-Tech,,B2C,Medical Diagnosis using Imaging,,,Kolkata,,,Pharmaceuticals and drug development and manufacturing,,,,,,,,,,Ekta Technology Incubation Centre,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,VI,Tellofy,https://www.tellofy.com,,"A multi-mode (audio, video and text), independent, sector agnostic, discovery, ratings and review platform on web, mobile and onsite driven by analytics with actionable insights. Tellofy provides one stop solution to gather feedback (Learn), actively solve grievances (Engage) and leverage the positives (Grow), It is a cross vertical platform and provides three touch points for consumers i.e The Mobile App, A tablet POS and the web site and captures feedback in Audio, Video and text formats.",Technology,Software & Computer Services,Social Platforms,,B2B,Website for info,,,Bengaluru,,,Connect People for Sharing Media and Files,,,,,,,,,,Amplifi,10/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,VI,Teritree,http://www.tagalys.com/,,Teritree is a customer experience management platform.,Technology,Software & Computer Services,Social Platforms,,B2B,Website for info,,,Bengaluru,,,Website for information,,,,,,,,,,Pitney Bowes,08/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,VI,Teslon,http://teslon.io/,,"Teslon Carenation is an IoT based solution for Tele-health market, bridging the clinician-patient divide over geographies and time. It is a highly scalable tele-health product supporting specialist consult, patient monitoring and education that uses cutting edge technologies.",Healthcare,Healthcare,Health-Tech,,B2C,Telehealth,,,Bengaluru,,,Telemedicine and Online health care platforms,,,,,,,,,,Cisco LaunchPad,02/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,VI,The Climber,http://theclimber.in/,,"Moonshot Accelerator, found by Aryaman Dalmia, has currently selected 4 startups for its 2017 spring batch. The startups include The Climber, AIndra Systems, FeltSo and Typeset. The Climber is a youth-driven organization which aims to capture curious young minds and help them find their passion with a human touch. Their current offerings include mentorship, a community platform, interactive sessions and much more.",Technology,Software & Computer Services,Edu-Tech,,B2C,Online counselling and mentoring,,,Bengaluru,,,Online or other forms of student support,,,,,,,,,,Moonshot Accelerator,02/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,VI,Theevanam Additives,,,"Theevanam Additives provides nutrient formulations for enriching animal feed additives and nutraceuticals such as vitamins, immune-modulators, enzymes, probiotics and pro-biotics etc.",Healthcare,Healthcare,Health-Tech,,B2C,Healthcare products,,,Chennai,,,Pharmacy & Medical Supplies,,,,,,,,,,IIT-M,12/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,VI,TheLifeCard,,,Target is an online loyalty program solely meant for Indian small and medium retailers.,Technology,Software & Computer Services,Social Platforms,,B2B,Connect Retailers,,,Gurgaon,,,Connect to Professionals,,,,,,,,,,VentureNursery,03/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,VI,Thinxtream,http://www.thinxtream.com/&#8206,,"Thinxstream is a software firm which develops print and media applications, software products for device management and provides services for multiple industries. It provides M2M solutions like DeviceMaestro Smart which allows organizations to implement their M2M strategy, enterprise mobile printing solutions like PrintRover and consumer wireless mobile printing solutions like PrintJinni.",Technology,Software & Computer Services,Software and Internet Services,,B2B,Saas,,,Bengaluru,,,SaaS,,,,,,,,,,Microsoft Accelerator,02/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,VI,Till POS,http://www.tillpos.co/,,"A cloud-based mobile point-of-sale software that will enable users to stay connected to their business from anywhere, at any time.",Technology,Software & Computer Services,Software and Internet Services,,B2B,Cloud computing,,,Hyderabad,,,Cloud Infrastructure,,,,,,,,,,Amplifi,10/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,VI,Time Flex,,,Time Flex provides cloud-based monitoring for micro environments,Technology,Software & Computer Services,Software and Internet Services,,B2B,Cloud computing,,,Bengaluru,,,Cloud Infrastructure,,,,,,,,,,,11/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,VI,Timers & Savers,http://www.timersnsavers.com,,,Consumer_goods,personal and household goods,Consumer Products and Services,,B2C,Consumer Electronics Efficient,,,Calicut,,,Consumer Electronics,,,,,,,,,,NIT-Calicut TBI,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,VI,TinyTapps,http://www.thetinytapps.com/,,Tiny Tapps works out of Pune and provides pre-school digital solutions for early learning with visually stimulating and interactive concepts for children below 6 years of age.,Technology,Software & Computer Services,Edu-Tech,,B2C,Child learning,,,Pune,,,Online courses and resources,,,,,,,,,,Edugild,09/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,VI,Tookitaki,http://tookitaki.com/,,"We are building a SaaS platform for enterprises and media agencies, that will provide actionable insights on audience behavior.",Technology,Software & Computer Services,Software and Internet Services,,B2B,Saas,,,Kolkata,,,SaaS,,,,,,,,,,Microsoft Accelerator,01/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,VI,Torchfi,https://www.torchfi.com/,,"TorchFi is a real world in-store digital engagement between brands and consumers through mobile phones without the need of an application. The solution identifies customers through their mobile phones and enables personalized engagement with brands over in-store WiFi. This solution has multiple widgets for different industries like Restaurants, Food Courts, Retail brands and Salons & Spa.",Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B,Marketing Solutions,,,Bengaluru,,,Customer service for business,,,,,,,,,,Cisco LaunchPad,02/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,VI,Touchfone,http://www.touch-fone.com/,,"Touchfone has developed a rich messaging and gaming platform and a content aggregation and distribution platform. It also builds products based on these platforms.  In 2010, the company raised $200k funding from Blume Ventures.   In Dec-2016, Scoppwhoop acqui-hired the company.",Consumer_services,Retail,"Media, Advertising and Gaming",,B2C,Gaming,,,Bengaluru,,,Games and Gaming enablers,,,,,,,,,,Microsoft Accelerator,02/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,VI,Townista,http://townista.com/,,Townista helps discover and book events in the city. Townista is building a platform for event organisers to reach out to youngsters with last minute offerings.,Consumer_services,Retail,Consumer Products and Services,,B2C,Event Management,,,Bengaluru,,,Event Management,,,,,,,,,,GSF Accelerator,04/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,VI,Transaction Analysts,,,"Transaction Analysts is a fintech startup that aims to bring affordable digital payment services to Indian citizens through its digital partner network using unique strategic licenses from RBI, Aadhaar, NPCI, and product IPs.",Financials,Financial services,Fin-Tech and Payments,,B2C,Payment methods,,,Bengaluru,,,Payments and Wallet,,,,,,,,,,Microsoft Accelerator,09/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,VI,Tranxact,http://www.tranxact.co/,,Tranxact is the tool for legal and accounting needs generating legally binding contracts and invoices.,Industrials,Industrial goods and services,Industrial and Business Products and Services,,B2B2C,Legal and accounting,,,Delhi,,,Professional services,,,,,,,,,,Startup Tunnel,09/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,VI,Travdots,http://travdots.com,,"TravDots Specializes in providing the best possible experience for the travel agents, travel operators and other travel service provider by providing all the necessary tools with advanced technology and expertise knowledge. Through their model, the users i.e. the travel agents, tour operators and travel service providers will be able to optimize and improve both the top line and bottom line by around 10%.",Consumer_services,Travel and Leisure,Hyperlocal and Logistics,,B2C,Travel and tour,,,Kolkata,,,"Taxi Services, Automobile pooling & Travel",,,,,,,,,,Amplifi,10/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,VI,Tri XO Solutions,,,Tri XO Solutions which provides Smart City Facilities Management and Integrated Workplace Management System (IWMS).,Industrials,Industrial goods and services,Real estate,,B2B,Workspace management,,,Coimbatore,,,Property management services,,,,,,,,,,PSG - STEP,10/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,VI,TRI3D ,http://tri3d.in/#product,,"IIT-M has incubated TRI3D, which is a virtual fitting room technology solution for e-fashion stores which helps users to virtually try-on clothes before they buy online.",Technology,Technology Hardware & Equipment,Technology,,B2C,Virtual Fitting,,,Mumbai,,,VR-AR,,,,,,,,,,IIT-Madras RTBI,05/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,VI,Tricog,http://tricog.com/,,"The new batch of startups selected for the Microsoft Accelerator programme are mainly in the areas of artificial intelligence and the internet of things, targeting verticals, including banking finance and financial services, logistics, healthcare, pharma and energy .Seven of the startups, including healthcare startup SigTuple and packaging artwork management software provider Karomi are among series-stage mature businesses, currently at an average annual revenue rate (ARR) of $1.5 million, and average funding of $3.2 million. The other startups in the batch include: AceBot, Active.Ai, FirstHive, Heckyl Technologies, Lavelle Networks, LetsTransport, QuestionPro, SysCloud, Tricog, vPhrase, Wittyparrot and Zenatix.",Healthcare,Healthcare,Health-Tech,,B2C,Analytics and survey,,,Bengaluru,,,Telemedicine and Online health care platforms,,,,,,,,,,Microsoft Accelerator,03/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
